id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
30	challenges	0.0459	0.5221	2	13	27	9	2022.5556	52.4444	1.6999
35	city	0.0732	0.1114	1	13	50	20	2019.65	141.75	1.3314
141	innovation	-0.1806	-0.2792	3	9	13	4	2018.75	87.5	1.77
146	internet	0.4047	-0.4519	1	10	31	9	2020.7778	153.1111	1.5752
147	internet of things	-0.532	-0.5707	3	10	19	6	2019.5	223.5	1.9077
150	iot	-0.3065	0.5181	2	11	16	5	2020.4	229.8	2.2371
167	management	-0.7384	0.8113	2	4	5	3	2021	26.3333	1.71
214	privacy	0.9428	0.21	1	8	16	3	2021.3333	40.3333	1.1166
230	security	0.8079	-0.3366	1	10	20	4	2020.25	60.5	1.2464
242	smart cities	-0.6087	0.0482	2	11	30	20	2019.65	46.15	1.085
243	smart city	0.3849	-0.0616	1	12	44	19	2019.6842	90.8947	1.1168
271	sustainability	-0.9029	-0.206	3	7	10	4	2021	49.5	1.5103
272	sustainable cities	-0.1184	-0.8565	4	8	16	6	2021.1667	63.8333	1.2066
281	technologies	0.728	0.5412	1	8	15	4	2019.75	81.5	0.9008
